Description_Cluster;Count;Associated_Comment_Clusters
5 mm;44;suspicion(6)|de(3)|rag(3)|de rag(3)|probablement(3)|ouverture(2)|fissure(1)|environ(1)|mi(1)|trav(1)
mm distance;0;
distance horizontale;0;
horizontale entre;1;
entre les;0;
est d;0;
environ 30cm;0;
rioration;55;constatation(10)|de(8)|ce(5)|relev(5)|peut(5)|tre(5)|effac(5)|ce relev(5)|relev de(5)|constatation peut(5)
granulats;10;
apparents;255;corrosion(2)|armatures(2)|d(1)
et;1522;de(200)|sup(95)|non(91)|non sup(91)|fissures(72)|localis(66)|et(65)|0(65)|fissures de(56)|3mm(55)
rioration importante;0;
importante de;0;
la t;804;de(13)|d(11)|armature(11)|constatations(10)|l(9)|insgesamt(8)|de la(7)|e(7)|photos(7)|ont(7)
mur avec;0;
des granulats;0;
granulats apparents;0;
et des;0;
des clats;0;
lokal;213;insgesamt(9)|ca(4)|stk(3)|versinterungen(2)|kalkausscheidungen(2)|chen(2)|der(2)|10(2)|ca 10(2)|2(1)
vereinzelte;265;der(4)|rissbreite(4)|eine(4)|bis(3)|1(3)|mm(3)|auf(3)|auf eine(3)|0(3)|nicht(2)
aussinterungen;239;aar(15)|mit(10)|f(9)|r(9)|typisches(9)|rissbild(9)|f r(9)|r aar(9)|aar typisches(9)|typisches rissbild(9)
lokal vereinzelte;0;
vereinzelte aussinterungen;0;
diverse;183;aar(6)|risse(4)|mit(4)|einem(4)|f(4)|r(4)|typisches(4)|rissbild(4)|risse mit(4)|mit einem(4)
lose;140;evtl(2)|dr(2)|ckt(2)|der(2)|hang(2)|von(2)|oben(2)|unten(2)|bewuchs(2)|durch(2)
rtelfugen;116;betr(2)|gt(2)|betr gt(2)|zur(1)|zeit(1)|der(1)|inspektion(1)|starke(1)|regenf(1)|lle(1)
diverse lose;0;
lose m;0;
korrodiertes;77;insgesamt(2)|2(1)|stk(1)|2 stk(1)|sch(1)|den(1)|aufgrund(1)|zu(1)|geringer(1)|bewehrungs(1)
oberfl;145;betr(3)|0(3)|rissbreite(3)|glicherweise(3)|rissl(2)|nge(2)|gt(2)|bis(2)|m(2)|und(2)
chennahes;2;den(2)|aussparungen(2)|an(1)|w(1)|der(1)|an den(1)|den w(1)|w nden(1)|nden der(1)
eisen;45;hi(4)|bernommen(3)|2024(3)|hi 2024(3)|schadensausmass(3)|aus(2)|bernommen aus(2)|aus hi(2)|vergleich(2)|das(1)
korrodiertes oberfl;0;
oberfl chennahes;0;
chennahes eisen;0;
untersp;6;fundamentplatte(3)|wasser(1)|fliesst(1)|direkt(1)|entlang(1)|der(1)|und(1)|gelangt(1)|auch(1)|unter(1)
lte;192;der(3)|0(3)|nicht(2)|die(2)|1(2)|m(2)|chtigend(2)|erste(2)|anzeichen(2)|mit(2)
steinquader;41;evtl(2)|dr(2)|ckt(2)|der(2)|hang(2)|von(2)|oben(2)|unten(2)|bewuchs(2)|durch(2)
lose untersp;0;
untersp lte;0;
lte steinquader;0;
netzrisse;95;aar(14)|mit(10)|einem(10)|risse(8)|f(8)|r(8)|typisches(8)|rissbild(8)|risse mit(8)|mit einem(8)
welche;21;schadensausmass(3)|vergleich(2)|das(1)|hat(1)|sich(1)|im(1)|zur(1)|letzten(1)|hi(1)|kaum(1)
auf;704;der(9)|mm(9)|rissbreite(8)|bis(8)|0(6)|0 mm(6)|rissbildung(5)|rissbreite bis(5)|durch(5)|pas(5)
aar;120;rissbildung(5)|rissbreite(5)|bis(5)|0(5)|mm(5)|rissbreite bis(5)|aar(4)|aar rissbildung(3)|0 mm(3)|an(2)
hindeuten;2;
anzeichen;139;rissbildung(5)|rissbreite(4)|bis(4)|0(4)|mm(4)|rissbreite bis(4)|aar(3)|aar rissbildung(3)|an(2)|den(2)
