Description_ngram;Count;PerMille;Associated_Comments
inf rieur;12;0.2;
de gel;12;0.2;
une trame;12;0.2;
me de;12;0.2;
infolge korrosion;12;0.2;
seite simplon;12;0.2;
vor dem;12;0.2;
un joint;12;0.2;
entr e;12;0.2;
ber ganze;12;0.2;
d sordre;12;0.2;
des pipettes;12;0.2;
in fr;12;0.2;
sous la;12;0.2;
droit de;12;0.2;
r paration;12;0.2;
hem stadium;12;0.2;
avec pr;12;0.2;
mm rissl;12;0.2;
nassstelle infolge;12;0.2;
l enrob;12;0.2;
la mise;12;0.2;
cass e;12;0.2;
morceaux qui;12;0.2;
ton d;12;0.2;
des t;12;0.2;
feine risse;12;0.2;
v hicules;12;0.2;
mit kalkausscheidungen;12;0.2;
zwangsrisse bis;12;0.2;
schwinden ca;12;0.2;
strictement inf;11;0.18;
d appui;11;0.18;
e d;11;0.18;
au dessus;11;0.18;
alle 2;11;0.18;
d collement;11;0.18;
s en;11;0.18;
est visible;11;0.18;
quelques fissures;11;0.18;
eclatement du;11;0.18;
der inspektion;11;0.18;
localis s;11;0.18;
b schen;11;0.18;
rieure du;11;0.18;
clat avec;11;0.18;
par le;11;0.18;
garde corps;11;0.18;
du c;11;0.18;
s comme;11;0.18;
r s;11;0.18;
max de;11;0.18;
proximit des;11;0.18;
s et;11;0.18;
surface maillage;11;0.18;
m caniques;11;0.18;
risse im;11;0.18;
aus der;11;0.18;
enrobage insuffisant;11;0.18;
surface fissures;11;0.18;
neben der;11;0.18;
de choc;11;0.18;
l tanch;11;0.18;
et armatures;11;0.18;
vereinzelte anzeichen;11;0.18;
un autre;11;0.18;
et la;11;0.18;
gr sser;11;0.18;
aux deux;11;0.18;
l uplans;11;0.18;
e depuis;11;0.18;
risse infolge;11;0.18;
mm mit;11;0.18;
starken aussinterungen;11;0.18;
zum teil;11;0.18;
une fissure;11;0.18;
trav e;11;0.18;
lokale nassstellen;11;0.18;
diversen rissbreiten;11;0.18;
d coll;11;0.18;
der seite;11;0.18;
clatement de;11;0.18;
talliques des;11;0.18;
verdacht auf;11;0.18;
bereich des;11;0.18;
le cadre;11;0.18;
clats sans;11;0.18;
s par;11;0.18;
biaises 45;11;0.18;
rieure 1m;11;0.18;
du parement;11;0.18;
ok boden;11;0.18;
tache de;11;0.18;
t martigny;11;0.18;
depuis le;11;0.18;
unterhalb von;11;0.18;
t nord;11;0.18;
wahrscheinlich aufgrund;11;0.18;
partie de;11;0.18;
treillis sont;11;0.18;
abplatzung an;11;0.18;
m ssigem;11;0.18;
abgel st;11;0.18;
deux extr;11;0.18;
la couche;11;0.18;
coupl avec;10;0.17;
rag coupl;10;0.17;
vraisemblablement de;10;0.17;
ne vraisemblablement;10;0.17;
en b;10;0.17;
abl sung;10;0.17;
sung der;10;0.17;
fissure longitudinale;10;0.17;
gulier ouv;10;0.17;
ments de;10;0.17;
unter 0;10;0.17;
ganze l;10;0.17;
encage de;10;0.17;
ouverture strictement;10;0.17;
an diversen;10;0.17;
plus visible;10;0.17;
sup 300cm;10;0.17;
est d;10;0.17;
d ancrage;10;0.17;
la t;10;0.17;
wasserf hrung;10;0.17;
ca 30;10;0.17;
l ext;10;0.17;
armature insuffisant;10;0.17;
den m;10;0.17;
ne de;10;0.17;
der krone;10;0.17;
leichter bewuchs;10;0.17;
rior le;10;0.17;
entretoises fissures;10;0.17;
der kante;10;0.17;
fortement d;10;0.17;
aus dem;10;0.17;
clat et;10;0.17;
die ganze;10;0.17;
ouvrage fortement;10;0.17;
der untersicht;10;0.17;
schwindrisse bis;10;0.17;
grilles d;10;0.17;
d fectueuses;10;0.17;
e c;10;0.17;
ouverture du;10;0.17;
de cisaillement;10;0.17;
bis 5;10;0.17;
efflorescence et;10;0.17;
avec efflorescence;10;0.17;
entre la;10;0.17;
ouverture 0;10;0.17;
s ici;10;0.17;
mm in;10;0.17;
fissures sup;10;0.17;
l ngs;10;0.17;
de mousse;10;0.17;
et le;10;0.17;
armature avec;10;0.17;
avec trace;10;0.17;
surface de;10;0.17;
7 mm;10;0.17;
vereinzelte lose;10;0.17;
l l;10;0.17;
e du;10;0.17;
avec lessivage;10;0.17;
rieur de;10;0.17;
der dilatationsfuge;10;0.17;
t sud;10;0.17;
re pas;10;0.17;
fugen mit;10;0.17;
inspection de;10;0.17;
sen der;10;0.17;
lors des;10;0.17;
verticales fissures;10;0.17;
eau venue;10;0.17;
proximit de;10;0.17;
durch die;10;0.17;
m glicherweise;10;0.17;
venue depuis;10;0.17;
diverse zwangsrisse;10;0.17;
ablagerungen in;10;0.17;
ca je;10;0.17;
mm rissbreite;10;0.17;
de jointoyage;10;0.17;
gel st;10;0.17;
aufgrund undichtem;10;0.17;
et traces;10;0.17;
des piles;10;0.17;
nge von;10;0.17;
rioration des;10;0.17;
de joints;10;0.17;
ou initiation;10;0.17;
09 05;10;0.17;
joints d;10;0.17;
d veloppement;10;0.17;
d l;10;0.17;
lokale abplatzungen;10;0.17;
diverse lose;10;0.17;
supprim e;10;0.17;
tat avec;10;0.17;
uplans ep;10;0.17;
15 cm;9;0.15;
abplatzungen in;9;0.15;
bl cke;9;0.15;
la canalisation;9;0.15;
richtung tal;9;0.15;
de r;9;0.15;
les zones;9;0.15;
apr s;9;0.15;
e ouverture;9;0.15;
modifi e;9;0.15;
de pierres;9;0.15;
long du;9;0.15;
ils sont;9;0.15;
avec t;9;0.15;
aufgrund aar;9;0.15;
2024 ils;9;0.15;
de substance;9;0.15;
45 degr;9;0.15;
des zones;9;0.15;
granulats apparents;9;0.15;
et des;9;0.15;
risse rissbreite;9;0.15;
br cke;9;0.15;
fissure sur;9;0.15;
und der;9;0.15;
absence de;9;0.15;
freiliegende bewehrung;9;0.15;
und kleinen;9;0.15;
en sous;9;0.15;
abst nden;9;0.15;
pr sentent;9;0.15;
lokale abplatzung;9;0.15;
mit freiliegender;9;0.15;
abl sungen;9;0.15;
dalle de;9;0.15;
substance modifi;9;0.15;
zw ngungen;9;0.15;
de pierre;9;0.15;
armature l;9;0.15;
f hrt;9;0.15;
de pile;9;0.15;
lors du;9;0.15;
3mm avec;9;0.15;
avec clats;9;0.15;
br ckenplatte;9;0.15;
cons quent;9;0.15;
nassstellen an;9;0.15;
et taches;9;0.15;
verf rbungen;9;0.15;
m rtel;9;0.15;
la chauss;9;0.15;
aus rissen;9;0.15;
aussinterungen aus;9;0.15;
vertikale risse;9;0.15;
est constat;9;0.15;
abplatzungen der;9;0.15;
abbl ttern;9;0.15;
mur en;9;0.15;
