Cluster_Representative;Count;Variations;PerMille
ca mm rissbreite mit gelartigen;28;ca mm rissbreite mit gelartigen (21) | ca mm breite mit gelartigen (7);0.08
rauhe betonoberfl;20;rauhe betonoberfl (10) | rauhe betonoberfl che (10);0.06
gekr mmt;23;gekr mmt (11) | gekr mmte (12);0.07
abplatzungen mit freiliegender korrodierter;11;abplatzungen mit freiliegender korrodierter (11);0.03
korrodierter bewehrung bis ca;9;korrodierter bewehrung bis ca (9);0.03
abplatzungen mit freiliegender korrodierter bewehrung;11;abplatzungen mit freiliegender korrodierter bewehrung (11);0.03
mm trocken;14;mm trocken (7) | ca mm trocken (7);0.04
bis ca mm trocken;7;bis ca mm trocken (7);0.02
oberfl chenschutz;17;oberfl chenschutz (17);0.05
regelm ssige;40;regelm ssige (18) | regelm ssigen (11) | in regelm ssigen (11);0.12
ssige schwindrisse;20;ssige schwindrisse (8) | kleine schwindrisse (12);0.06
vereinzelt mit;30;vereinzelt mit (14) | vereinzelt bis (9) | vereinzelt auch (7);0.09
regelm ssige schwindrisse;8;regelm ssige schwindrisse (8);0.02
herkunft wasser;9;herkunft wasser (9);0.03
teils kornausbr che;7;teils kornausbr che (7);0.02
stellen bis;29;stellen bis (18) | stellen an (11);0.09
eingeschr nkt;9;eingeschr nkt (9);0.03
im konsolkopf;10;im konsolkopf (10);0.03
einzelnen kornausbr;30;einzelnen kornausbr (15) | mit einzelnen kornausbr (15);0.09
einzelnen kornausbr chen;26;einzelnen kornausbr chen (13) | mit einzelnen kornausbr chen (13);0.08
oberfl che mit einzelnen;11;oberfl che mit einzelnen (11);0.03
che mit einzelnen kornausbr;22;che mit einzelnen kornausbr (11) | che mit einzelnen kornausbr chen (11);0.07
verwitterte oberfl che mit einzelnen;11;verwitterte oberfl che mit einzelnen (11);0.03
oberfl che mit einzelnen kornausbr;11;oberfl che mit einzelnen kornausbr (11);0.03
leichter bewuchs;11;leichter bewuchs (11);0.03
bewehrung freiliegend;14;bewehrung freiliegend (14);0.04
bis 5m2 mit;7;bis 5m2 mit (7);0.02
corrod es;8;corrod es (8);0.02
kleine teils mit kleinen;8;kleine teils mit kleinen (8);0.02
kleine teils mit kleinen abplatzungen;7;kleine teils mit kleinen abplatzungen (7);0.02
aar risse auf;56;aar risse auf (25) | aar risse auf der (24) | ngsrisse auf (7);0.17
auf der ganzen;39;auf der ganzen (39);0.12
che rissbreiten bis;7;che rissbreiten bis (7);0.02
risse auf der ganzen;34;risse auf der ganzen (21) | aar risse auf der ganzen (13);0.1
netzartige aar risse auf der;24;netzartige aar risse auf der (24);0.07
mit angerosteter;11;mit angerosteter (11);0.03
mit angerosteter bewehrung;11;mit angerosteter bewehrung (11);0.03
schwindrisse block teils;33;schwindrisse block teils (11) | schwindrisse block teils mit (7) | schwindrisse pro block teils (15);0.1
mauerkrone und;12;mauerkrone und (12);0.04
stk schwindrisse bis mm mit;12;stk schwindrisse bis mm mit (12);0.04
mm vereinzelt;26;mm vereinzelt (8) | ca mm vereinzelt (7) | und vereinzelt (11);0.08
bis ca mm vereinzelt;7;bis ca mm vereinzelt (7);0.02
seite simplon;19;seite simplon (19);0.06
messbar an;18;messbar an (10) | messbar an der (8);0.05
der dilatationsfuge;39;der dilatationsfuge (29) | an der dilatationsfuge (10);0.12
querrisse auf der;26;querrisse auf der (26);0.08
der leitplanke;15;der leitplanke (15);0.04
infolge anprall;40;infolge anprall (40);0.12
sichtbare bewehrung;10;sichtbare bewehrung (10);0.03
pro block;76;pro block (64) | stk pro block (12);0.23
rissbreite von bis;8;rissbreite von bis (8);0.02
rohreinf hrungen;7;rohreinf hrungen (7);0.02
und korrosionsspuren;9;und korrosionsspuren (9);0.03
aus riss;8;aus riss (8);0.02
und profile;12;und profile (12);0.04
schrauben und profile;8;schrauben und profile (8);0.02
der verankerung;10;der verankerung (10);0.03
teils mit abplatzungen bis;23;teils mit abplatzungen bis (16) | teils mit abplatzungen bis 100 (7);0.07
mehrere kleine schwindrisse;9;mehrere kleine schwindrisse (9);0.03
infolge fr her undichtem;10;infolge fr her undichtem (10);0.03
fr her undichtem fb;21;fr her undichtem fb (14) | von fr her undichtem fb (7);0.06
unterf hrung;19;unterf hrung (11) | der unterf hrung (8);0.06
teils abl sung;11;teils abl sung (11);0.03
teils abl sung der beschichtung;8;teils abl sung der beschichtung (8);0.02
in deckschicht;16;in deckschicht (8) | der deckschicht (8);0.05
rostflecken undichte;21;rostflecken undichte (7) | mit rostflecken undichte (7) | rostflecken undichter (7);0.06
versatz ca;16;versatz ca (7) | versatz bis (9);0.05
gerissen oder;29;gerissen oder (11) | gerissen und (18);0.09
keine ver;22;keine ver (7) | keine sch (8) | eine sehr (7);0.07
keine ver nderung;7;keine ver nderung (7);0.02
einzelne schwindrisse mit kalkaussinterungen;21;einzelne schwindrisse mit kalkaussinterungen (21);0.06
nur bedingt;14;nur bedingt (7) | nur bei (7);0.04
anschlussdetail im;8;anschlussdetail im (8);0.02
konsolkopf mangelhaft;14;konsolkopf mangelhaft (7) | im konsolkopf mangelhaft (7);0.04
anschlussdetail im konsolkopf;8;anschlussdetail im konsolkopf (8);0.02
anschlussdetail im konsolkopf mangelhaft;7;anschlussdetail im konsolkopf mangelhaft (7);0.02
cm2 vermutlich;7;cm2 vermutlich (7);0.02
bis 1000 cm2 zw;14;bis 1000 cm2 zw (7) | bis 150 cm2 zw (7);0.04
randfuge vorhanden;12;randfuge vorhanden (12);0.04
keine randfuge vorhanden;12;keine randfuge vorhanden (12);0.04
fuge gerissen oder;9;fuge gerissen oder (9);0.03
fugen offen;26;fugen offen (9) | fugen ffnung (8) | fuge oben (9);0.08
hschwindrisse oder;11;hschwindrisse oder (11);0.03
zahlreiche gel binddr;14;zahlreiche gel binddr (7) | zahlreiche gel binddr hte (7);0.04
zahlreiche gel binddr hte und;7;zahlreiche gel binddr hte und (7);0.02
algen moos;8;algen moos (8);0.02
modification de;12;modification de (12);0.04
de protection;9;de protection (9);0.03
rev tement;22;rev tement (15) | du rev tement (7);0.07
la derni re;8;la derni re (8);0.02
derni re inspection;16;derni re inspection (8) | la derni re inspection (8);0.05
wasser aus fb;7;wasser aus fb (7);0.02
bewehrung infolge undichter;9;bewehrung infolge undichter (9);0.03
korrodierter bewehrung infolge undichter;18;korrodierter bewehrung infolge undichter (9) | mit korrodierter bewehrung infolge undichter (9);0.05
mit kornausbr chen mit;17;mit kornausbr chen mit (10) | mit kornausbr chen und (7);0.05
zahlreiche korrodierte;15;zahlreiche korrodierte (15);0.04
zahlreiche korrodierte bewehrungsst;30;zahlreiche korrodierte bewehrungsst (15) | zahlreiche korrodierte bewehrungsst be (15);0.09
von fr her;31;von fr her (13) | von wasser (10) | wegen fr her (8);0.09
die auf;40;die auf (7) | alt aus (7) | die trag (7) | des eaux (10) | alte aus (9);0.12
vermutlich infolge;8;vermutlich infolge (8);0.02
ablagerungen in;51;ablagerungen in (12) | ablagerungen in der (9) | ablagerung von (23) | ablagerungen von (7);0.15
leicht undicht;21;leicht undicht (11) | leicht feucht (10);0.06
nge betr gt;15;nge betr gt (15);0.04
und rissbreite betr;10;und rissbreite betr (10);0.03
rissbreite betr gt;23;rissbreite betr gt (16) | rissbreite betr gt bis (7);0.07
betr gt bis;30;betr gt bis (18) | betr gt bis zu (12);0.09
rissl nge betr gt;15;rissl nge betr gt (15);0.04
in der fuge;31;in der fuge (11) | in den fugen (20);0.09
belagsn hte;14;belagsn hte (14);0.04
ngs und quer;13;ngs und quer (13);0.04
risse in beschichtung;7;risse in beschichtung (7);0.02
teils grossfl chig mit;11;teils grossfl chig mit (11);0.03
infolge setzung;7;infolge setzung (7);0.02
au droit;7;au droit (7);0.02
haute teneur;14;haute teneur (7) | haute teneur en (7);0.04
teneur en;7;teneur en (7);0.02
en chlorure;14;en chlorure (7) | en chlorure en (7);0.04
chlorure en;7;chlorure en (7);0.02
en surface;35;en surface (26) | mm surface (9);0.1
teneur en chlorure;14;teneur en chlorure (7) | teneur en chlorure en (7);0.04
chlorure en surface;14;chlorure en surface (7) | en chlorure en surface (7);0.04
haute teneur en chlorure;14;haute teneur en chlorure (7) | haute teneur en chlorure en (7);0.04
teneur en chlorure en surface;7;teneur en chlorure en surface (7);0.02
mehrere stk bis;7;mehrere stk bis (7);0.02
ankerk pfe;13;ankerk pfe (13);0.04
leicht schadhafter;11;leicht schadhafter (11);0.03
leicht schadhafter korrosionsschutz;11;leicht schadhafter korrosionsschutz (11);0.03
stk ngsriss mit;7;stk ngsriss mit (7);0.02
nur oberfl chlich;7;nur oberfl chlich (7);0.02
ber gesamte;57;ber gesamte (42) | ber gesamte he (15);0.17
aufkommender bewuchs;21;aufkommender bewuchs (21);0.06
par la;15;par la (7) | dans la (8);0.04
la corrosion;7;la corrosion (7);0.02
ne sont pas;20;ne sont pas (11) | car ne sont pas (9);0.06
stes dichtungsprofil;10;stes dichtungsprofil (10);0.03
abgel stes dichtungsprofil;9;abgel stes dichtungsprofil (9);0.03
leichte verschlechterung;14;leichte verschlechterung (7) | leichte verschlechterung des (7);0.04
verschlechterung des;9;verschlechterung des (9);0.03
des korrosionsschutzes;16;des korrosionsschutzes (16);0.05
verschlechterung des korrosionsschutzes;16;verschlechterung des korrosionsschutzes (9) | leichte verschlechterung des korrosionsschutzes (7);0.05
durch steinschlag;41;durch steinschlag (23) | den durch steinschlag (11) | durch steinschlag und (7);0.12
steinschlag und;14;steinschlag und (7) | steinschlag und ger (7);0.04
sch den durch steinschlag;17;sch den durch steinschlag (10) | sch den durch steinschlag und (7);0.05
den durch steinschlag und;14;den durch steinschlag und (7) | den durch steinschlag und ger (7);0.04
durch steinschlag und ger;14;durch steinschlag und ger (7) | durch steinschlag und ger ll (7);0.04
steinschlag und ger ll;7;steinschlag und ger ll (7);0.02
und binddr;28;und binddr (17) | gel und binddr (11);0.08
abplatzungen durch;36;abplatzungen durch (22) | und abplatzungen durch (14);0.11
risse und abplatzungen;22;risse und abplatzungen (22);0.07
abplatzungen durch frost;35;abplatzungen durch frost (21) | und abplatzungen durch frost (14);0.1
gel nderpfosten risse und;16;gel nderpfosten risse und (16);0.05
nderpfosten risse und abplatzungen;42;nderpfosten risse und abplatzungen (14) | gel nderpfosten risse und abplatzungen (14) | nderpfosten risse und abplatzungen durch (14);0.13
risse und abplatzungen durch;28;risse und abplatzungen durch (14) | risse und abplatzungen durch frost (14);0.08
bis stk block;8;bis stk block (8);0.02
lose oder;25;lose oder (25);0.07
korrodierte oberfl;7;korrodierte oberfl (7);0.02
lessivage de;14;lessivage de (7) | lessivage de la (7);0.04
la chaux;14;la chaux (7) | de la chaux (7);0.04
lessivage de la chaux;7;lessivage de la chaux (7);0.02
freiliegender bewehrung bis ca;11;freiliegender bewehrung bis ca (11);0.03
verst rkt;15;verst rkt (8) | zerst rt (7);0.04
risse teilweise mit;18;risse teilweise mit (8) | risse teils mit (10);0.05
ausscheidungen rissbreite;16;ausscheidungen rissbreite (8) | kalkausscheidungen rissbreite (8);0.05
risse mit gelartigen;10;risse mit gelartigen (10);0.03
gelartigen ausscheidungen rissbreite;16;gelartigen ausscheidungen rissbreite (8) | mit gelartigen ausscheidungen rissbreite (8);0.05
verdacht auf aar;19;verdacht auf aar (19);0.06
netzartige risse mit gelartigen;8;netzartige risse mit gelartigen (8);0.02
netzartige risse mit gelartigen ausscheidungen;8;netzartige risse mit gelartigen ausscheidungen (8);0.02
risse mit gelartigen ausscheidungen rissbreite;7;risse mit gelartigen ausscheidungen rissbreite (7);0.02
kleine infolge;7;kleine infolge (7);0.02
infolge betonkontakt;12;infolge betonkontakt (12);0.04
sup 3mm;76;sup 3mm (49) | sup 300cm (17) | sup 30cm (10);0.23
non sup 3mm et;42;non sup 3mm et (42);0.13
sup 3mm et de;48;sup 3mm et de (48);0.14
de largeur non sup 3mm;40;de largeur non sup 3mm (40);0.12
largeur non sup 3mm et;40;largeur non sup 3mm et (40);0.12
sup 3mm et de longueur;48;sup 3mm et de longueur (48);0.14
3mm et de longueur non;48;3mm et de longueur non (48);0.14
eau depuis la;15;eau depuis la (15);0.04
la partie sup;16;la partie sup (16);0.05
partie sup de;16;partie sup de (16);0.05
au niveau de;11;au niveau de (11);0.03
surface fortement alt;34;surface fortement alt (25) | mm surface fortement alt (9);0.1
venue eau depuis la;13;venue eau depuis la (13);0.04
eau depuis la partie;13;eau depuis la partie (13);0.04
depuis la partie sup;16;depuis la partie sup (16);0.05
la partie sup de ouvrage;16;la partie sup de ouvrage (16);0.05
mehrere fr hschwindrisse evtl;24;mehrere fr hschwindrisse evtl (12) | mehrere fr hschwindrisse evtl aar (12);0.07
fugenkitt spr;24;fugenkitt spr (12) | fugenkitt spr de (12);0.07
gerissen teils;28;gerissen teils (20) | gerissen teils mit (8);0.08
abgel st teils;17;abgel st teils (17);0.05
fugenkitt spr de und;12;fugenkitt spr de und (12);0.04
de und gerissen teils;16;de und gerissen teils (8) | spr de und gerissen teils (8);0.05
fugenkitt spr de und gerissen;12;fugenkitt spr de und gerissen (12);0.04
frost teils;13;frost teils (13);0.04
durch frost teils;24;durch frost teils (12) | durch frost teils mit (12);0.07
risse durch frost teils;20;risse durch frost teils (10) | risse durch frost teils mit (10);0.06
voir constatation;52;voir constatation (28) | voir constatation de (24);0.15
constatation de;50;constatation de (27) | constatation de me (23);0.15
type supprimer;46;type supprimer (23) | me type supprimer (23);0.14
de me type;36;de me type (23) | de type (13);0.11
voir constatation de me;46;voir constatation de me (23) | voir constatation de me type (23);0.14
constatation de me type;23;constatation de me type (23);0.07
de me type supprimer;23;de me type supprimer (23);0.07
constatation de me type supprimer;23;constatation de me type supprimer (23);0.07
den entw;15;den entw (8) | in den entw (7);0.04
durch die;14;durch die (14);0.04
durchgehende risse;17;durchgehende risse (7) | durchgehender riss (10);0.05
ok bankett;28;ok bankett (13) | ok bankett bis (8) | ab ok bankett (7);0.08
bankett bis;8;bankett bis (8);0.02
ouverture inf;67;ouverture inf (17) | ouverture max (50);0.2
rieure 3mm;62;rieure 3mm (25) | inf rieure 3mm (23) | rieure mm (14);0.18
3mm trame;18;3mm trame (11) | 5mm trame (7);0.05
trame irr;15;trame irr (15);0.04
irr guli;48;irr guli (15) | irr guli re (15) | irr gulier (18);0.14
traces infiltrations;81;traces infiltrations (37) | avec infiltrations (11) | de traces infiltrations (33);0.24
ouverture inf rieure;30;ouverture inf rieure (17) | ouverture inf rieure 3mm (13);0.09
trame irr guli;30;trame irr guli (15) | trame irr guli re (15);0.09
fissuration de;16;fissuration de (16);0.05
type fa;35;type fa (13) | de type fa (13) | type fa en (9);0.1
maillage irr;29;maillage irr (17) | 3mm maillage irr (12);0.09
fissuration de surface;13;fissuration de surface (13);0.04
surface de type;36;surface de type (12) | de surface de type (12) | surface de type fa (12);0.11
maillage irr gulier;39;maillage irr gulier (17) | 3mm maillage irr gulier (12) | maillage irr gulier pas (10);0.12
de surface de type fa;12;de surface de type fa (12);0.04
3mm maillage;14;3mm maillage (14);0.04
gulier pas;30;gulier pas (10) | irr gulier pas (10) | gulier pas de (10);0.09
de traces;75;de traces (34) | pas de traces (34) | de gravier (7);0.22
ouverture max 3mm;31;ouverture max 3mm (13) | ouverture max non (18);0.09
irr gulier pas de;10;irr gulier pas de (10);0.03
gulier pas de traces;20;gulier pas de traces (10) | irr gulier pas de traces (10);0.06
pas de traces infiltrations;33;pas de traces infiltrations (33);0.1
3mm maillage irr gulier pas;8;3mm maillage irr gulier pas (8);0.02
maillage irr gulier pas de;10;maillage irr gulier pas de (10);0.03
gulier pas de traces infiltrations;10;gulier pas de traces infiltrations (10);0.03
de ouvrage surface;7;de ouvrage surface (7);0.02
de ouvrage surface fortement;7;de ouvrage surface fortement (7);0.02
ouvrage surface fortement alt;7;ouvrage surface fortement alt (7);0.02
je stk bis 200;11;je stk bis 200 (11);0.03
dans paroi;16;dans paroi (9) | dans paroi sud (7);0.05
paroi sud;8;paroi sud (8);0.02
migr dans paroi;16;migr dans paroi (9) | migr dans paroi sud (7);0.05
bl cke nicht;17;bl cke nicht (8) | deckel nicht (9);0.05
einzelne bl cke nicht;8;einzelne bl cke nicht (8);0.02
bl cke nicht frostsicher;8;bl cke nicht frostsicher (8);0.02
einzelne bl cke nicht frostsicher;8;einzelne bl cke nicht frostsicher (8);0.02
mehrere mit kleinen;7;mehrere mit kleinen (7);0.02
auch bei;21;auch bei (21);0.06
bei pfostenf;33;bei pfostenf (9) | ls pfosten (16) | um pfostenf (8);0.1
mehrere querrisse;28;mehrere querrisse (21) | mehrere querrisse auf (7);0.08
teils mit kleinen ausbr;20;teils mit kleinen ausbr (10) | teils mit kleinen ausbr chen (10);0.06
fuge mit rostflecken;7;fuge mit rostflecken (7);0.02
undichte fuge mit rostflecken;7;undichte fuge mit rostflecken (7);0.02
gew hrleistet;10;gew hrleistet (10);0.03
nicht gew hrleistet;9;nicht gew hrleistet (9);0.03
trame identifi;39;trame identifi (15) | de trame identifi (15) | trame identifi pas (9);0.12
3mm pas de;8;3mm pas de (8);0.02
pas de trame;23;pas de trame (15) | 3mm pas de trame (8);0.07
pas de trame identifi;32;pas de trame identifi (15) | 3mm pas de trame identifi (8) | pas de trame identifi pas (9);0.1
inf rieures mm;43;inf rieures mm (36) | inf rieure mm (7);0.13
schlecht sichtbar;9;schlecht sichtbar (9);0.03
ft best ndigkeit;20;ft best ndigkeit (8) | ft best ndiger (12);0.06
arbeitsfuge mit;25;arbeitsfuge mit (16) | arbeitsfugen mit (9);0.07
arbeitsfuge mit kalkaussinterung;7;arbeitsfuge mit kalkaussinterung (7);0.02
risse in den fugen;29;risse in den fugen (15) | risse in den rtelfugen (14);0.09
longueur non sup 30cm;10;longueur non sup 30cm (10);0.03
aktuell noch;15;aktuell noch (8) | aktuell nicht (7);0.04
mehrere bis m2 mit korrodierter;9;mehrere bis m2 mit korrodierter (9);0.03
