Commentaire_Cluster;Commentaire_Count;Commentaire_PerMille;Description_Cluster;Description_Count;Description_PerMille
dépôts de carbonate de calcium;11;0.23;nan;10;1000.0
starker bewuchs;6;0.12;nan;6;1000.0
fissures de rag fissures de retrait fissures supérieures mm;5;0.1;nan;4;1000.0
moos leicht;18;0.37;nan;18;1000.0
réparé;60;1.24;nan;37;770.83
réparé;60;1.24;non constaté;3;62.5
réparé;60;1.24;nouveau revêtement entre 2019 et 2024 non visible;3;62.5
réparé;60;1.24;défaut exécution;1;20.83
réparé;60;1.24;ruptures et morceaux qui se détachent;2;41.67
réparé;60;1.24;réparations locales;2;41.67
undichte fuge wasserführend;10;0.21;nan;10;1000.0
ragréages localisés;35;0.73;interventions entretien courant;25;735.29
ragréages localisés;35;0.73;nan;9;264.71
application une protection de surface sur env de hauteur;5;0.1;interventions entretien courant;5;1000.0
ragréages localisés et application une protection de surface sur env de hauteur;6;0.12;interventions entretien courant;4;666.67
ragréages localisés et application une protection de surface sur env de hauteur;6;0.12;défauts éliminés;1;166.67
ragréages localisés et application une protection de surface sur env de hauteur;6;0.12;nan;1;166.67
moos sträucher;15;0.31;nan;15;1000.0
mehrere kleine binddrähte und abstandhalter;47;0.97;nan;47;1000.0
fissures de rag;16;0.33;nan;16;1000.0
stk korrodierte bewehrungsstäbe mit betonabplatzungen;40;0.83;nan;40;1000.0
kalkablagerungen;35;0.73;nan;35;1000.0
stark verwitterte oberfläche;31;0.64;nan;31;1000.0
verfüllung von geländerpfosten;15;0.31;nan;15;1000.0
mehrere bis 300 cm2 mechanische beschädigungen;3;0.06;nan;3;1000.0
wasserführend;46;0.95;nan;46;1000.0
dégâts accident;10;0.21;nan;10;1000.0
falsche höhenlage;9;0.19;nan;9;1000.0
undichte rohrdurchführung;34;0.7;nan;34;1000.0
teils mit kornausbrüchen;19;0.39;nan;19;1000.0
wasserführend mit kalkaussinterung;8;0.17;nan;8;1000.0
undichter anschluss;12;0.25;nan;12;1000.0
holzeinlage;15;0.31;nan;15;1000.0
verfüllung von geländerpfosten abplatzung durch frost;8;0.17;nan;8;1000.0
mehrere teils mit kleinen abplatzungen;15;0.31;nan;15;1000.0
stk korrodierte bewehrungsstäbe teils mit abplatzungen;3;0.06;nan;3;1000.0
mehrere mit korrodierter bewehrung;3;0.06;nan;3;1000.0
mehrere teils mit abplatzungen;7;0.15;nan;7;1000.0
feinabrieb mehrere kleine instandsetzung;3;0.06;nan;3;1000.0
geringfügig;7;0.15;nan;7;1000.0
keine belagsfuge vorhanden mit bewuchs;9;0.19;nan;9;1000.0
mehrere undichte belagsentwässerungsrohre;3;0.06;nan;3;1000.0
mit korrodierter bewehrung;21;0.44;nan;21;1000.0
betrifft 131 stütze brünig;4;0.08;nan;4;1000.0
stk undichte belagsentwässerungsrohre;15;0.31;nan;15;1000.0
absandung der betonoberfläche infolge wassereinstau nicht einsehbar;6;0.12;nan;6;1000.0
ungesicherte abdeckungen- einlaufroste;5;0.1;nan;5;1000.0
angerostete stahlteile;4;0.08;nan;4;1000.0
mehrere kleine teils mit abplatzungen;10;0.21;nan;10;1000.0
längs- und querrisse;7;0.15;nan;7;1000.0
mehrere kleine binddrähte und nägel;7;0.15;nan;7;1000.0
sträucher bäume;8;0.17;nan;8;1000.0
mehrere längs und querrisse teils vergossen;13;0.27;nan;13;1000.0
teils mit abplatzungen;6;0.12;nan;6;1000.0
mit kalkaussinterungen mit rostflecken;26;0.54;nan;26;1000.0
lunkern;15;0.31;nan;15;1000.0
mehrere distanzhalter;4;0.08;nan;4;1000.0
mit betonabplatzungen mit korrodierter bewehrung;3;0.06;nan;3;1000.0
von fbü;8;0.17;nan;8;1000.0
anprallspuren;4;0.08;nan;4;1000.0
arbeitsfuge;9;0.19;nan;9;1000.0
einzelne längs- und querrisse teils vergossen;4;0.08;nan;4;1000.0
mehrere alte nassstelle jetzt trocken;3;0.06;nan;3;1000.0
krummes rohr;3;0.06;nan;3;1000.0
kein korrosionsschutz;11;0.23;nan;11;1000.0
zahlreiche schwindrisse mit kalkaussinterung;29;0.6;nan;29;1000.0
mehrere bis 100 cm2;44;0.91;nan;44;1000.0
stk mit kalkaussinterung;40;0.83;nan;40;1000.0
mehrere teils mit kalkaussinterung;21;0.44;nan;21;1000.0
mehrere horizontalrisse mit kalkaussinterungen;3;0.06;nan;3;1000.0
gerissener fugenverguss;3;0.06;nan;3;1000.0
alte nassstelle jetzt trocken aus bauzeit;9;0.19;nan;9;1000.0
aar fortgeschritten;33;0.68;nan;33;1000.0
deckbelag wurde ersetzt;8;0.17;nan;8;1000.0
mehrere schwindrisse teils mit kalkaussinterungen teils mit rostflecken;7;0.15;nan;7;1000.0
hohlliegender zementüberzug ca m2;16;0.33;nan;16;1000.0
randsteine abgelöst hohlliegend;4;0.08;nan;4;1000.0
einzelne kleine nägel binddrähte und abstandhalter;11;0.23;nan;11;1000.0
hohlliegend;25;0.52;nan;25;1000.0
gras und moos;7;0.15;nan;7;1000.0
je stk horizontalriss mit kalkaussinterungen;14;0.29;nan;14;1000.0
stk mit kleinen abplatzungen;18;0.37;nan;18;1000.0
mehrere schwindrisse teils mit leichten kalkaussinterungen;4;0.08;nan;4;1000.0
zu kurze belagsentwässerungsrohre;12;0.25;nan;12;1000.0
frühschwindrisse evtl aar beginnend;6;0.12;nan;6;1000.0
leichte ablösung der flanken bis 10 mm;3;0.06;nan;3;1000.0
ungesicherte einlaufroste abdeckungen;5;0.1;nan;5;1000.0
mit betonabplatzungen;16;0.33;nan;16;1000.0
verfüllung von geländerpfosten risse durch frost;21;0.44;nan;21;1000.0
anzahl stk hohlliegende pfostenfüllungen;8;0.17;nan;8;1000.0
übergang zu schleppplatte;4;0.08;nan;4;1000.0
verzinkung abgewittert;10;0.21;nan;10;1000.0
kiesnester;7;0.15;nan;7;1000.0
mehrere kleine nägel;6;0.12;nan;6;1000.0
je stk bis 100 cm2;5;0.1;nan;5;1000.0
ablösung der beschichtung farbe;17;0.35;nan;17;1000.0
ca 00 m2;13;0.27;nan;13;1000.0
mechanische beschädigungen;21;0.44;nan;21;1000.0
nicht normgerecht;4;0.08;nan;4;1000.0
undichte fuge mit kalkaussinterungen;12;0.25;nan;12;1000.0
ungenügende betonüberdeckung;3;0.06;nan;3;1000.0
mehrere grossflächig mit korrodierter bewehrung;31;0.64;nan;31;1000.0
lokale abplatzung;3;0.06;nan;3;1000.0
lokale abplatzungen an den betonkanten;3;0.06;nan;3;1000.0
systembedingt;15;0.31;nan;15;1000.0
